Year,Trip Number,ADFG Number,Vessel Name,Sampler Name,Sample Date,Project Code,Project,Delivery Code,Delivery,Sample Type Code,Sample Type,Groundfish Stat Area,Groundfish Stat Area Group,Groundfish Management Area Code,Lingcod Management Area Code,Species Code,Species,Specimen Number,Length Type Code,Length Type,Length Millimeters,Weight Kilograms,Sex Code,Sex,Maturity Code,Maturity,Age,Age Readability Code,Age Readability
2022,1,21390,MINKE,"Erica Ebert, Mathew Pallister",5/17/2022 14:23,604,Commercial Jig Trip,4,Gutted only,1,Random,355631,,CSEO,CSEO,130,Lingcod greenling,1,1,Tip of snout to fork of tail,850,5.16,2,Female,9,Not observed,9,3,Fairly Sure
2022,1,21390,MINKE,"Erica Ebert, Mathew Pallister",5/17/2022 14:23,604,Commercial Jig Trip,4,Gutted only,1,Random,355631,,CSEO,CSEO,130,Lingcod greenling,2,1,Tip of snout to fork of tail,750,3.63,99,Indiscernible,9,Not observed,7,2,Comfortably Sure
2022,1,21390,MINKE,"Erica Ebert, Mathew Pallister",5/17/2022 14:23,604,Commercial Jig Trip,4,Gutted only,1,Random,355631,,CSEO,CSEO,130,Lingcod greenling,3,1,Tip of snout to fork of tail,840,5.93,99,Indiscernible,9,Not observed,13,2,Comfortably Sure
2022,1,21390,MINKE,"Erica Ebert, Mathew Pallister",5/17/2022 14:23,604,Commercial Jig Trip,4,Gutted only,1,Random,355631,,CSEO,CSEO,130,Lingcod greenling,4,1,Tip of snout to fork of tail,780,4.53,1,Male,9,Not observed,8,2,Comfortably Sure
2022,1,21390,MINKE,"Erica Ebert, Mathew Pallister",5/17/2022 14:23,604,Commercial Jig Trip,4,Gutted only,1,Random,355631,,CSEO,CSEO,130,Lingcod greenling,5,1,Tip of snout to fork of tail,1010,8.81,2,Female,9,Not observed,11,2,Comfortably Sure
2022,1,21390,MINKE,"Erica Ebert, Mathew Pallister",5/17/2022 14:23,604,Commercial Jig Trip,4,Gutted only,1,Random,355631,,CSEO,CSEO,130,Lingcod greenling,6,1,Tip of snout to fork of tail,810,4.23,2,Female,9,Not observed,11,2,Comfortably Sure
2022,1,21390,MINKE,"Erica Ebert, Mathew Pallister",5/17/2022 14:23,604,Commercial Jig Trip,4,Gutted only,1,Random,355631,,CSEO,CSEO,130,Lingcod greenling,7,1,Tip of snout to fork of tail,780,4.21,1,Male,9,Not observed,10,3,Fairly Sure
2022,1,21390,MINKE,"Erica Ebert, Mathew Pallister",5/17/2022 14:23,604,Commercial Jig Trip,4,Gutted only,1,Random,355631,,CSEO,CSEO,130,Lingcod greenling,8,1,Tip of snout to fork of tail,720,3.35,1,Male,9,Not observed,8,3,Fairly Sure
2022,1,21390,MINKE,"Erica Ebert, Mathew Pallister",5/17/2022 14:23,604,Commercial Jig Trip,4,Gutted only,1,Random,355631,,CSEO,CSEO,130,Lingcod greenling,9,1,Tip of snout to fork of tail,840,4.49,2,Female,9,Not observed,9,4,Somewhat Unsure
2022,1,21390,MINKE,"Erica Ebert, Mathew Pallister",5/17/2022 14:23,604,Commercial Jig Trip,4,Gutted only,1,Random,355631,,CSEO,CSEO,130,Lingcod greenling,10,1,Tip of snout to fork of tail,790,4.28,99,Indiscernible,9,Not observed,11,2,Comfortably Sure
2022,1,21390,MINKE,"Erica Ebert, Mathew Pallister",5/17/2022 14:23,604,Commercial Jig Trip,4,Gutted only,1,Random,355631,,CSEO,CSEO,130,Lingcod greenling,11,1,Tip of snout to fork of tail,720,3.27,2,Female,9,Not observed,6,2,Comfortably Sure
2022,1,99999,Vanisle,Iphc Scientific Staff,7/9/2022 0:00,615,IPHC Annual Survey,1,Whole fish/food fish,1,Random,355601,,CSEO,CSEO,710,Sablefish,1,1,Tip of snout to fork of tail,610,,2,Female,9,Not observed,,,
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,1,1,Tip of snout to fork of tail,720,3.19,1,Male,9,Not observed,10,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,2,1,Tip of snout to fork of tail,860,5.62,1,Male,9,Not observed,8,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,3,1,Tip of snout to fork of tail,830,5.1,1,Male,9,Not observed,8,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,4,1,Tip of snout to fork of tail,820,4.72,0,Not observed,9,Not observed,,9,Unknown
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,5,1,Tip of snout to fork of tail,960,8.03,2,Female,9,Not observed,11,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,6,1,Tip of snout to fork of tail,770,4.4,1,Male,9,Not observed,8,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,7,1,Tip of snout to fork of tail,730,3.2,1,Male,9,Not observed,7,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,8,1,Tip of snout to fork of tail,730,3.25,1,Male,9,Not observed,9,1,Very Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,9,1,Tip of snout to fork of tail,710,3.13,2,Female,9,Not observed,6,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,10,1,Tip of snout to fork of tail,710,3.08,1,Male,9,Not observed,6,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,11,1,Tip of snout to fork of tail,760,4,1,Male,9,Not observed,8,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,12,1,Tip of snout to fork of tail,770,3.48,1,Male,9,Not observed,6,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,13,1,Tip of snout to fork of tail,950,8.15,2,Female,9,Not observed,11,2,Comfortably Sure
2022,2,75524,PIRATE,"Erica Ebert, Rhea Ehresmann, Willa Johnson",5/19/2022 9:11,604,Commercial Jig Trip,4,Gutted only,1,Random,,,CSEO,,130,Lingcod greenling,14,1,Tip of snout to fork of tail,810,5.02,1,Male,9,Not observed,12,4,Somewhat Unsure
